,G major,G minor,C major,E minor,E major,A minor,B major,A# major,A# minor,D minor,D major,B minor,F major,F minor,F# major,G# minor,A major,F# minor,C# minor,C# major,C minor,D# minor,D# major,G# major
blues.00066.wav,9.67,,,,,,,,,,9.15,9.72,,,,,,,,,,,,
blues.00067.wav,10.86,8.43,,,,,,,,,,,,,,,,,,,8.34,,,
blues.00068.wav,,,,,,,,,7.27,,,,10.2,8.14,,,,,,,,,,
blues.00069.wav,7.98,8.37,7.11,,,,,,,,,,,,,,,,,,,,,
blues.00070.wav,,,,,,,,,8.82,,,7.99,,,12.97,,,,,,,,,
blues.00071.wav,,,8.0,,,,,,,,,,10.03,9.57,,,,,,,,,,
blues.00072.wav,11.97,7.53,,8.99,,,,,,,,,,,,,,,,,,,,
blues.00073.wav,,,,,,,,,,,,,,,,,,,,,,6.46,9.71,6.7
blues.00074.wav,,,,,,,,6.96,,,,,,,,,,,,,,7.52,9.48,
blues.00075.wav,,,10.82,,,,,,,,,,10.21,9.01,,,,,,,,,,
blues.00076.wav,,,,,,,,11.2,,,,,,,,,,,,,,9.37,8.5,
blues.00077.wav,,,7.68,,,,,,,,,,8.89,8.94,,,,,,,,,,
blues.00078.wav,,,,,,,,,,,,,,,,9.47,,,,,,8.77,10.56,
blues.00079.wav,,,,,,,7.71,,,,,,,,,,,,,,,11.76,9.08,
blues.00080.wav,8.85,,8.69,,,,,,,,,,,,,,,,,,9.73,,,
blues.00081.wav,10.73,,,,,,,,,,7.16,7.63,,,,,,,,,,,,
blues.00082.wav,,,,,,,,,,8.39,7.63,,,,,,9.53,,,,,,,
blues.00083.wav,,,,,,,,9.21,9.36,,,,11.06,,,,,,,,,,,
blues.00084.wav,,8.9,,,,,,,,,,,,,,,,,,,9.54,,9.34,
blues.00085.wav,10.61,,7.36,,,,,,,,,,,,,,,,,,7.31,,,
blues.00086.wav,7.71,8.68,,,,,,,,,6.76,,,,,,,,,,,,,
blues.00087.wav,,,,,,,,,,,,,,,8.18,,,,8.22,10.71,,,,
blues.00088.wav,,9.74,,,,,,,9.95,9.28,,,,,,,,,,,,,,
blues.00089.wav,,,,,9.79,14.2,,,,,,,,,,,12.54,,,,,,,
blues.00090.wav,,,,8.55,8.94,,,,,,,,,,,,8.29,,,,,,,
blues.00091.wav,,,,7.56,8.68,,,,,,,,,,,,,,7.75,,,,,
blues.00092.wav,,,,7.68,8.39,,,,,,,,,,,,,9.01,,,,,,
blues.00093.wav,,,,7.34,9.52,7.96,,,,,,,,,,,,,,,,,,
blues.00094.wav,,,,,,9.35,,,,,,,,,,,10.2,,9.4,,,,,
blues.00095.wav,,,6.54,8.71,7.48,,,,,,,,,,,,,,,,,,,
blues.00096.wav,,,,9.96,11.87,,,,,,,,,,,,,,7.21,,,,,
blues.00097.wav,,,,,,,,,,,,,,,,,,8.54,10.05,9.83,,,,
blues.00098.wav,7.9,9.1,7.54,,,,,,,,,,,,,,,,,,,,,
blues.00099.wav,,,8.52,,,7.01,,,,,,,7.15,,,,,,,,,,,
classical.00000.wav,,,,,,,,,,,10.72,7.92,,,,,8.39,,,,,,,
classical.00001.wav,8.37,,,,,,,,,,9.24,12.23,,,,,,,,,,,,
classical.00002.wav,,,,,6.55,,,,,,7.38,,,,,,8.6,,,,,,,
classical.00003.wav,7.13,,8.11,,,,,,,,,,,,,,,,,,7.04,,,
classical.00004.wav,,,8.81,,,9.3,,,,,,,7.58,,,,,,,,,,,
classical.00005.wav,,,,,,,,,,,,,,,,,,,,,9.04,,10.11,10.31
classical.00006.wav,,,7.92,,,,,,,,,,,8.3,,,,,,,11.08,,,
classical.00007.wav,,,,,,,,8.51,,,,,,,,,,,,,,8.47,10.4,
classical.00008.wav,,,6.7,,,,,,,,,,8.49,,,,,,,,6.68,,,
classical.00009.wav,8.07,8.57,,,,,,,,,,,,,,,,,,,8.34,,,
classical.00010.wav,,,,,,,,11.38,,,,,7.0,,,,,,,,,,6.7,
classical.00011.wav,7.04,,9.61,,,,,,,,,,,,,,,,,,11.68,,,
classical.00012.wav,,,9.61,,,,,,,,,,10.07,8.34,,,,,,,,,,
classical.00013.wav,10.09,,7.52,,,,,,,,,,,,,,,,,,7.22,,,
classical.00014.wav,10.72,,6.95,,,,,,,,6.77,,,,,,,,,,,,,
classical.00015.wav,6.59,,6.91,9.38,,,,,,,,,,,,,,,,,,,,
classical.00016.wav,8.21,,,,,,,,,8.15,9.94,,,,,,,,,,,,,
classical.00017.wav,,,,,6.68,7.87,,,,,,,,,,,8.71,,,,,,,
classical.00018.wav,,,,,,,,,,,,,,9.73,,9.14,,,,,,,,8.84
classical.00019.wav,,,,,,,,,,,,,,,,,,,,,7.83,,9.02,10.24
classical.00020.wav,,,,,,,,8.18,,,,,,,,,,,,,,,8.94,6.55
classical.00021.wav,,,,,,,,,10.87,,,,8.46,,7.98,,,,,,,,,
classical.00022.wav,,,,,,,,8.01,,,,,9.79,8.21,,,,,,,,,,
classical.00023.wav,,,,,,,,,,,,,,,,,,,,,,9.98,11.9,6.69
classical.00024.wav,,11.69,,,,,,7.28,,,,,,,,,,,,,,,7.44,
classical.00025.wav,,10.21,,,,,,8.16,,,,,,,,,,,,,,,7.65,
classical.00026.wav,10.33,,8.36,,,,,,,,,,,,,,,,,,7.04,,,
classical.00027.wav,,,8.55,,,,,,9.07,,,,9.82,,,,,,,,,,,
classical.00028.wav,10.91,8.25,7.02,,,,,,,,,,,,,,,,,,,,,
classical.00029.wav,8.57,,7.69,,,,,,,,7.03,,,,,,,,,,,,,
classical.00030.wav,,8.48,,,,,,8.46,,,,,,,,,,,,,,,9.23,
classical.00031.wav,11.13,9.78,,,,,,,,,7.75,,,,,,,,,,,,,
classical.00032.wav,,,,,,,,,,,,,,,,,,6.61,10.16,10.3,,,,
classical.00033.wav,,,,,,,,,,,,,,9.58,,,,,,8.24,,,,9.45
classical.00034.wav,,,6.65,,,,,,,,,,8.78,6.99,,,,,,,,,,
classical.00035.wav,,,,,8.94,,,,,,,,,,,,,10.57,8.61,,,,,
classical.00036.wav,,,,,,,,,,,,,,,,,12.41,,13.09,,,,9.01,
classical.00037.wav,,,,,,9.51,,,,9.28,,,,,,,9.59,,,,,,,
classical.00038.wav,8.25,7.75,,,,,,,,,7.57,,,,,,,,,,,,,
classical.00039.wav,,,,,,,12.4,,,,,9.12,,,,7.25,,,,,,,,
classical.00040.wav,,,,,,,,,,,,,,,9.92,,,14.67,,8.05,,,,
classical.00041.wav,,,8.5,8.1,,,,,,9.71,,,,,,,,,,,,,,
classical.00042.wav,,,7.97,8.84,,9.77,,,,,,,,,,,,,,,,,,
classical.00043.wav,,,,,,,,9.58,,,,,,,,,,,,,,7.97,10.83,
classical.00044.wav,,,,,,,,,,,,,,,,,,,,,8.78,,10.07,8.5
classical.00045.wav,,,8.48,8.48,,8.4,,,,,,,,,,,,,,,,,,
classical.00046.wav,,7.47,,,,,,,,7.21,10.8,,,,,,,,,,,,,
classical.00047.wav,7.21,,,8.44,,,,,,,,7.08,,,,,,,,,,,,
classical.00048.wav,,,,,,,9.56,,,,,,,,,8.68,,,,,,8.76,,
classical.00049.wav,8.15,,11.62,,,,,,,,,,,,,,,,,,8.22,,,
classical.00050.wav,,,,,,,,,8.82,,,,,,9.02,,,,,10.0,,,,
classical.00051.wav,8.74,,,,,,,,,8.62,,9.48,,,,,,,,,,,,
classical.00052.wav,,,,,,,,7.7,13.48,,,,,,8.72,,,,,,,,,
classical.00053.wav,,,,,,,,,,,,,,,,8.72,,,,,,,10.23,9.81
classical.00054.wav,,,,,,,,,,,,,,8.31,,,,,,,8.93,,,9.66
classical.00055.wav,,,,,8.76,,,,,,,,,,,,9.21,,7.15,,,,,
classical.00056.wav,11.7,8.84,,,,,,,,,7.95,,,,,,,,,,,,,
classical.00057.wav,,7.36,,,,,,6.68,,,,,,,,,,,,,7.4,,,
classical.00058.wav,8.38,6.77,7.41,,,,,,,,,,,,,,,,,,,,,
classical.00059.wav,,,7.91,,,8.15,,,,,,,8.84,,,,,,,,,,,
classical.00060.wav,,,10.81,,,9.88,,,,,,,8.69,,,,,,,,,,,
classical.00061.wav,,,11.09,,,9.47,,,,,,,,,,,,,,,8.84,,,
classical.00062.wav,,,,,,,,,7.91,,,,9.01,,8.28,,,,,,,,,
classical.00063.wav,,,,,,,9.74,,,,,,,,11.11,,,,,,,8.02,,
classical.00064.wav,,,,,,,,,,,,,,,,10.22,,,7.67,,,,,10.04
classical.00065.wav,,,,,,,,,,,,,,,,,,,,,7.26,9.26,8.17,
classical.00066.wav,,,,,,,,,,,,,,,,10.33,,,8.26,,,,,8.09
classical.00067.wav,8.68,,10.88,,,,,,,,,,,,,,,,,,7.79,,,
classical.00068.wav,,,7.52,,,,,,,,,,11.6,7.52,,,,,,,,,,
classical.00069.wav,,,7.58,,,,,,,,,,10.51,7.23,,,,,,,,,,
classical.00070.wav,,,,,,10.8,,,,7.96,,,8.88,,,,,,,,,,,
classical.00071.wav,,,8.63,,,,,,,,,,10.91,8.35,,,,,,,,,,
classical.00072.wav,,,,,,,,10.17,,9.44,,,8.65,,,,,,,,,,,
classical.00073.wav,,,,,,,,8.16,,,,,10.37,7.75,,,,,,,,,,
classical.00074.wav,,,,,,,,10.4,,7.91,,,9.74,,,,,,,,,,,
classical.00075.wav,,,,,,,,,,,,,,10.77,,,,,,7.99,,,,7.14
classical.00076.wav,,,,,,,,,,,,,,,,,,,,,7.75,,8.01,11.2
classical.00077.wav,,,,,,,,,,,,,,,,,,,,,8.95,,9.85,7.89
classical.00078.wav,,,,,,,,,,,,,,,,,,,,,8.28,,8.89,11.28
classical.00079.wav,,,,,,,,9.11,,,,,,,,,,,,,,8.37,10.67,
classical.00080.wav,,,,11.18,,,8.39,,,,,7.23,,,,,,,,,,,,
classical.00081.wav,,,,,,,,,,8.82,11.38,8.24,,,,,,,,,,,,
classical.00082.wav,9.54,10.52,,,,,,6.85,,,,,,,,,,,,,,,,
classical.00083.wav,,,8.8,,,9.47,,,,,,,11.33,,,,,,,,,,,
classical.00084.wav,,9.35,,,,,,,,,,,,,,,,,,,8.81,,9.34,
classical.00085.wav,,7.75,,,,,,8.79,,7.67,,,,,,,,,,,,,,
classical.00086.wav,,,,,,,,6.17,,,,,,,,,,,,,,,10.24,7.48
classical.00087.wav,9.27,,,,,,,,,,8.9,7.2,,,,,,,,,,,,
classical.00088.wav,,,,,,,,,,,,,,,,7.9,,,,,,,8.28,11.52
classical.00089.wav,,,,,9.95,,7.07,,,,,,,,,8.16,,,,,,,,
classical.00090.wav,,,,,,,,,,,,,,,,9.16,,,10.97,,,,,8.97
classical.00091.wav,,,,,10.34,,,,,,,,,,,,8.35,,9.14,,,,,
classical.00092.wav,,,8.01,,7.05,11.91,,,,,,,,,,,,,,,,,,
classical.00093.wav,,,,,,,,,,,,,,12.3,,,,,,10.82,,,,7.65
classical.00094.wav,8.99,10.4,,,,,,,,,8.79,,,,,,,,,,,,,
classical.00095.wav,,8.72,,,,,,10.46,,,,,,,,,,,,,,,8.65,
classical.00096.wav,6.79,,,,,,,,,10.18,11.62,,,,,,,,,,,,,
classical.00097.wav,,,,,,11.3,,,,,,,9.52,,,,11.08,,,,,,,
classical.00098.wav,,,7.73,,,,,,,,,,11.27,9.61,,,,,,,,,,
classical.00099.wav,7.83,10.66,,,,,,,,,,,,,,,,,,,,,10.28,
country.00000.wav,9.91,10.37,,,,,,,,,7.25,,,,,,,,,,,,,
country.00001.wav,9.66,,10.57,8.66,,,,,,,,,,,,,,,,,,,,
country.00002.wav,,,,,7.35,9.2,,,,,,,,,,,11.21,,,,,,,
country.00003.wav,,,,,,,,,,,,,,,,6.99,,,,,,,9.98,10.73
country.00004.wav,,,7.3,,,8.87,,,,,,,11.47,,,,,,,,,,,
country.00005.wav,11.66,,,9.14,,,,,,,,8.26,,,,,,,,,,,,
country.00006.wav,,,,,,,,11.06,,8.78,,,8.57,,,,,,,,,,,
country.00007.wav,,,,,7.6,,,,,,,,,,,,11.43,,6.97,,,,,
country.00008.wav,,,7.52,,,7.95,,,,,,,12.05,,,,,,,,,,,
country.00009.wav,,,,,,,,,,,,,,,,9.74,,,,,,,7.73,9.97
country.00010.wav,,,11.24,,,,,,,,,,,7.26,,,,,,,8.43,,,
country.00011.wav,,7.97,,,,,,,,,,,,,,,,,,,6.9,,8.44,
country.00012.wav,7.24,,12.02,,,,,,,,,,,,,,,,,,7.09,,,
country.00013.wav,,,,,,8.53,,,,,,,,,,,10.88,9.78,,,,,,
country.00014.wav,,,,,,,,,,7.85,8.12,,,,,,11.61,,,,,,,
country.00015.wav,,,,,,,,,,,,,,,,,,,,,,7.52,9.05,8.64
country.00016.wav,,,,,,,,,9.28,,,,,,12.57,,,,,7.64,,,,
country.00017.wav,7.79,,,,,,,,,7.91,10.83,,,,,,,,,,,,,
country.00018.wav,,,8.76,,,,,,,,,,11.05,7.99,,,,,,,,,,
country.00019.wav,,,,,,,,,,,,,,9.38,,,,,,10.27,,,,9.45
country.00020.wav,,,,,,,,10.91,9.36,,,,,,,,,,,,,7.52,,
country.00021.wav,,,8.51,,,9.22,,,,,,,10.21,,,,,,,,,,,
country.00022.wav,,,,,,,8.7,,,,,,,,,11.04,,,,,,,,8.8
country.00023.wav,,,,,,,,,7.71,,,,10.91,8.13,,,,,,,,,,
country.00024.wav,8.73,,11.42,,,,,,,,,,,,,,,,,,9.15,,,
country.00025.wav,,,,,,,,,,,,,,9.09,,,,,,,9.39,,,9.72
country.00026.wav,9.81,,,,,,,,,,9.0,7.71,,,,,,,,,,,,
country.00027.wav,,,,,7.3,8.32,,,,,,,,,,,10.39,,,,,,,
country.00028.wav,7.21,,,,,,,,,7.13,11.44,,,,,,,,,,,,,
country.00029.wav,,,,,,,,,,,,,,8.21,,,,,,11.49,,,,7.97
country.00030.wav,,7.6,,,,,,,,7.3,10.89,,,,,,,,,,,,,
country.00031.wav,,,9.47,,,,,,,,,,8.37,,,,,,,,6.82,,,
country.00032.wav,,,,7.65,10.27,,7.77,,,,,,,,,,,,,,,,,
country.00033.wav,,,,6.68,8.28,,10.7,,,,,,,,,,,,,,,,,
country.00034.wav,,,,,,,,,,7.18,9.68,,,,,,7.1,,,,,,,
country.00035.wav,,,6.74,,,,,,,,,,11.71,7.88,,,,,,,,,,
country.00036.wav,,,,,,,,,,,,,,,,,,,9.84,11.41,,,,7.53
country.00037.wav,,,,,,,,,,,,,,,,,,,,8.15,,7.43,,6.74
country.00038.wav,10.68,,10.8,9.52,,,,,,,,,,,,,,,,,,,,
country.00039.wav,,,,,,,,,,,,,,,,,10.26,8.84,11.35,,,,,
country.00040.wav,10.35,,,,,,,,,,9.26,8.45,,,,,,,,,,,,
country.00041.wav,,,,,,11.14,,,,7.39,,,,,,,9.56,,,,,,,
country.00042.wav,,,,,,8.8,,,,,6.74,,,,,,9.2,,,,,,,
country.00043.wav,,,,,,,,,,7.93,11.06,,,,,,7.07,,,,,,,
country.00044.wav,,,,,10.28,,,,,,,,,,,8.1,6.93,,,,,,,
country.00045.wav,,,,,11.64,,,,,,,,,,,,9.77,,7.19,,,,,
country.00046.wav,,,,,,,,11.84,,8.13,,,,,,,,,,,,,7.05,
country.00047.wav,7.68,,10.24,,,,,,,,,,,,,,,,,,7.22,,,
country.00048.wav,,,,,,,,10.76,9.65,,,,7.79,,,,,,,,,,,
country.00049.wav,11.65,,,,,,,,,,8.57,8.63,,,,,,,,,,,,
country.00050.wav,,,8.56,,,8.86,,,,,,,8.08,,,,,,,,,,,
country.00051.wav,,,,7.69,11.27,6.62,,,,,,,,,,,,,,,,,,
country.00052.wav,,,,,,,,,6.18,,,,11.01,9.57,,,,,,,,,,
country.00053.wav,,,,,7.41,9.14,,,,,,,,,,,9.68,,,,,,,
country.00054.wav,,,,,,,,8.62,,,,,,,,,,,,,,7.5,10.08,
country.00055.wav,,,,,11.31,,7.87,,,,,,,,,,,,8.34,,,,,
country.00056.wav,,,,,,,,,7.89,,,,11.43,8.46,,,,,,,,,,
country.00057.wav,,,,,,,,,,,,,,,,8.0,,,,8.25,,,,8.81
country.00058.wav,,,,,,,,7.25,,,,,,,,,,,,,,8.75,10.73,
country.00059.wav,,,,,,,,,,,,,,7.85,,,,,,,,,9.71,8.45
country.00060.wav,,,8.58,,,,,,,,,,10.24,10.71,,,,,,,,,,
country.00061.wav,,,,,,,,,,6.86,9.6,,,,,,7.1,,,,,,,
country.00062.wav,,,,,,,,,,10.45,9.79,,,,,,7.61,,,,,,,
country.00063.wav,10.38,,,,,,,,,,8.01,11.6,,,,,,,,,,,,
country.00064.wav,,,,,,,,6.54,,,,,9.58,7.64,,,,,,,,,,
country.00065.wav,,,,6.82,10.49,,6.83,,,,,,,,,,,,,,,,,
country.00066.wav,,,,,,8.52,,,,,7.23,,,,,,10.29,,,,,,,
country.00067.wav,,,,,,,,,8.77,,,,,7.39,,,,,,9.11,,,,
country.00068.wav,,,,,,,,,,9.7,12.03,8.18,,,,,,,,,,,,
country.00069.wav,,6.92,,,,,,,,8.05,10.84,,,,,,,,,,,,,
country.00070.wav,,,,8.1,12.16,,,,,,,,,,,,7.6,,,,,,,
country.00071.wav,8.05,,,,,,,,,,10.14,8.23,,,,,,,,,,,,
country.00072.wav,,,,,,,,,,,9.1,,,,,,8.62,10.33,,,,,,
country.00073.wav,,,,,8.61,,9.84,,,,,7.25,,,,,,,,,,,,
country.00074.wav,11.1,8.33,,,,,,,,,,,,,,,,,,,7.48,,,
country.00075.wav,,,,,,9.86,,,,,6.56,,,,,,10.23,,,,,,,
country.00076.wav,,,,,,,,,,7.26,10.14,,,,,,8.77,,,,,,,
country.00077.wav,,,9.98,,,,,,,,,,10.36,8.27,,,,,,,,,,
country.00078.wav,,,,,7.74,,,,,,,,,,,,8.71,7.62,,,,,,
country.00079.wav,,,10.81,,,8.41,,,,,,,8.02,,,,,,,,,,,
country.00080.wav,8.04,7.78,,,,,,,,,10.25,,,,,,,,,,,,,
country.00081.wav,,,,,9.52,9.9,,,,,,,,,,,9.83,,,,,,,
country.00082.wav,11.11,7.9,8.19,,,,,,,,,,,,,,,,,,,,,
country.00083.wav,,,,,9.58,,,,,,,,,,,,8.47,,8.15,,,,,
country.00084.wav,10.02,6.71,7.15,,,,,,,,,,,,,,,,,,,,,
country.00085.wav,,,,,7.68,9.84,,,,,,,,,,,10.68,,,,,,,
country.00086.wav,,,,,,,,11.27,,7.92,,,7.94,,,,,,,,,,,
country.00087.wav,8.48,,10.17,,,8.56,,,,,,,,,,,,,,,,,,
country.00088.wav,,,,7.91,9.57,,,,,,,,,,,,8.0,,,,,,,
country.00089.wav,,,,,7.09,8.12,,,,,,,,,,,8.66,,,,,,,
country.00090.wav,,,,8.06,9.94,,10.51,,,,,,,,,,,,,,,,,
country.00091.wav,,,,,,,,,,,,,,,,,,,,,,7.0,10.01,8.05
country.00092.wav,11.3,,9.19,9.8,,,,,,,,,,,,,,,,,,,,
country.00093.wav,8.03,6.92,,,,,,,,,10.38,,,,,,,,,,,,,
country.00094.wav,9.01,,10.07,,,,,,,,,,,,,,,,,,8.01,,,
country.00095.wav,,,,,,,,8.95,,7.66,,,8.83,,,,,,,,,,,
country.00096.wav,11.25,8.22,6.85,,,,,,,,,,,,,,,,,,,,,
country.00097.wav,,,,,,,,7.51,,,,,9.22,7.01,,,,,,,,,,
country.00098.wav,7.19,,11.33,,,,,,,,,,,,,,,,,,8.04,,,
country.00099.wav,,,,,,,8.25,,,,,,,,11.05,,,8.58,,,,,,
disco.00000.wav,,,,7.65,,,,,,,7.6,,,,,,6.8,,,,,,,
disco.00001.wav,,,8.04,8.12,,9.82,,,,,,,,,,,,,,,,,,
disco.00002.wav,7.81,,,11.32,,,,,,,10.53,,,,,,,,,,,,,
disco.00003.wav,,,,,,7.3,,,9.26,,,,7.75,,,,,,,,,,,
disco.00004.wav,,,,,9.76,,8.28,,,,,,,,,,,,7.76,,,,,
disco.00005.wav,,,,,,,,8.69,10.21,,,,,,,,,,,,,,8.63,
disco.00006.wav,,,,,,,,,,,,,,,,9.47,,,7.59,,,,,9.01
disco.00007.wav,,,,,,13.19,,,,,,,,,,,10.26,8.46,,,,,,
disco.00008.wav,,,,,,,,,,,,,,,,7.41,,,,9.0,,,,8.31
disco.00009.wav,,,,,,,,8.15,,,,,8.34,,,,,,,,7.53,,,
disco.00010.wav,,,,,,,,,,,,,,7.18,,,,,,8.0,,,,8.04
disco.00011.wav,,11.67,,,,15.28,,,,,,,,,,,11.7,,,,,,,
disco.00012.wav,,,9.2,,,11.18,,,,,,,,,,,,,,,9.62,,,
disco.00013.wav,,,,8.23,10.44,,,,,,,,,,,,7.3,,,,,,,
disco.00014.wav,,,,,,,8.99,,,,,,,,9.95,,,7.19,,,,,,
disco.00015.wav,,,8.27,8.74,,,,,,,7.26,,,,,,,,,,,,,
disco.00016.wav,,,,,,,,,,,,8.08,,,,,7.83,,10.21,,,,,
disco.00017.wav,,7.35,,,,,,8.39,,,,,,,,,,,,,10.43,,,
disco.00018.wav,,,,,,,,,,,,8.14,,,,,,,8.63,,8.88,,,
disco.00019.wav,,,,,,,,9.99,,,,,,,,,,,,,,10.8,11.51,
disco.00020.wav,,,,7.16,8.69,,11.61,,,,,,,,,,,,,,,,,
disco.00021.wav,,,10.5,,,8.38,,,,,,,,,,,,,,,11.33,,,
disco.00022.wav,,,,7.93,7.69,,10.9,,,,,,,,,,,,,,,,,
disco.00023.wav,,,,,,,,,,,,,,,,9.86,,,,,,,8.67,8.31
disco.00024.wav,,,,,,,,,,,,,,,8.32,,,,,8.43,,8.33,,
disco.00025.wav,,,,,,,,,6.95,,,,,9.34,,,,,,9.33,,,,
disco.00026.wav,,7.46,,,,,,,,,,,7.17,7.02,,,,,,,,,,
disco.00027.wav,,,,,,9.96,,,,,,,7.43,,,,9.36,,,,,,,
disco.00028.wav,9.54,10.14,,,,,,,,,8.78,,,,,,,,,,,,,
disco.00029.wav,,,,,8.91,,8.14,,,,,,,,,,,,8.41,,,,,
disco.00030.wav,7.49,,,8.15,,9.4,,,,,,,,,,,,,,,,,,
