index,filepath,keys,key,album_cover_path,genre,genres,tempo,title,artist,loudness,x_tsne,y_tsne,z_tsne,x_umap,y_umap,z_umap
10,dashboard/data\gtzan\genres_original\blues\blues.00000.wav,"{'G major': 11.35, 'G minor': 9.18, 'C major': 9.16}",G major,dashboard/data\gtzan\images\blues.00000.jpg,blues,"[{'score': 0.9889065027236938, 'label': 'blues'}, {'score': 0.003469008719548583, 'label': 'reggae'}, {'score': 0.003103857394307852, 'label': 'country'}]",123.05,"One Bourbon, One Scotch, One Beer",John Lee Hooker,-8.721031,-329.3243408203125,-277.2959289550781,-186.62147521972656,4.074121475219727,5.446782112121582,11.4408597946167
11,dashboard/data\gtzan\genres_original\blues\blues.00014.wav,"{'B minor': 17.59, 'B major': 12.07, 'F# major': 8.3}",B minor,dashboard/data\gtzan\images\blues.00014.jpg,blues,"[{'score': 0.9862049221992493, 'label': 'blues'}, {'score': 0.004049546085298061, 'label': 'jazz'}, {'score': 0.0030517801642417908, 'label': 'reggae'}]",152.0,Pablo's Blues,Gare du Nord,-15.664282,152.52589416503906,150.5067138671875,609.9248046875,2.3484463691711426,7.454181671142578,12.97426700592041
12,dashboard/data\gtzan\genres_original\blues\blues.00013.wav,"{'B minor': 12.17, 'B major': 12.0, 'G# minor': 6.36}",B minor,dashboard/data\gtzan\images\blues.00013.jpg,blues,"[{'score': 0.9870672821998596, 'label': 'blues'}, {'score': 0.0028843621257692575, 'label': 'reggae'}, {'score': 0.0023173426743596792, 'label': 'country'}]",107.67,Terraplane Blues,Robert Johnson,-12.195781,293.60272216796875,-200.6248779296875,-571.220703125,1.8409615755081177,7.199292182922363,12.578251838684082
13,dashboard/data\gtzan\genres_original\blues\blues.00009.wav,"{'G major': 10.51, 'G minor': 7.74, 'D minor': 6.95}",G major,data/plain_cover.jpg,blues,"[{'score': 0.9877607822418213, 'label': 'blues'}, {'score': 0.0045578693971037865, 'label': 'country'}, {'score': 0.002200888702645898, 'label': 'reggae'}]",80.75,It's My Own Fault | Hey Baby (Medley),John Lee Hooker,-15.13469,-13.01764965057373,30.842302322387695,-639.114501953125,1.7990362644195557,6.57100248336792,11.852741241455078
14,dashboard/data\gtzan\genres_original\blues\blues.00015.wav,"{'B major': 12.43, 'B minor': 11.38, 'E major': 7.84}",B major,dashboard/data\gtzan\images\blues.00015.jpg,blues,"[{'score': 0.9893100261688232, 'label': 'blues'}, {'score': 0.0027583325281739235, 'label': 'reggae'}, {'score': 0.0025401015300303698, 'label': 'country'}]",103.36,Walkin' Blues,Robert Johnson,-14.801071,-229.2416534423828,-383.3359375,252.3440399169922,2.2446484565734863,6.972663879394531,12.532008171081543
15,dashboard/data\gtzan\genres_original\blues\blues.00010.wav,"{'F major': 9.58, 'F minor': 7.92, 'C major': 7.51}",F major,dashboard/data\gtzan\images\blues.00010.jpg,blues,"[{'score': 0.9819590449333191, 'label': 'blues'}, {'score': 0.004667769186198711, 'label': 'reggae'}, {'score': 0.0029013382736593485, 'label': 'rock'}]",161.5,Lonely Boy Boogie,John Lee Hooker,-13.527799,285.67010498046875,265.3523864746094,-83.49623107910156,3.9451560974121094,6.254338264465332,10.876667022705078
16,dashboard/data\gtzan\genres_original\blues\blues.00017.wav,"{'A minor': 11.01, 'A major': 10.09, 'F# minor': 9.15}",A minor,dashboard/data\gtzan\images\blues.00017.jpg,blues,"[{'score': 0.9873653054237366, 'label': 'blues'}, {'score': 0.004427286330610514, 'label': 'reggae'}, {'score': 0.00269591948017478, 'label': 'country'}]",172.27,32-20 Blues,Robert Johnson,-10.286842,-189.57937622070312,293.0966491699219,477.5426940917969,1.6934483051300049,6.695136547088623,12.719680786132812
17,dashboard/data\gtzan\genres_original\blues\blues.00016.wav,"{'A major': 11.22, 'A minor': 8.73, 'E major': 8.05}",A major,dashboard/data\gtzan\images\blues.00016.jpg,blues,"[{'score': 0.9858644008636475, 'label': 'blues'}, {'score': 0.006631046533584595, 'label': 'reggae'}, {'score': 0.0033977078273892403, 'label': 'country'}]",198.77,I Believe I'll Dust My Broom,Robert Johnson,-12.233634,-22.87626075744629,-682.170166015625,277.0612487792969,2.414947271347046,6.208861351013184,13.004323959350586
18,dashboard/data\gtzan\genres_original\blues\blues.00018.wav,"{'F# minor': 8.92, 'B major': 8.75, 'F# major': 8.4}",F# minor,dashboard/data\gtzan\images\blues.00018.jpg,blues,"[{'score': 0.9827907085418701, 'label': 'blues'}, {'score': 0.0103500597178936, 'label': 'country'}, {'score': 0.002110727597028017, 'label': 'reggae'}]",83.35,Kind Hearted Woman Blues,Robert Johnson,-15.928618,251.5484619140625,644.3290405273438,27.24283790588379,2.430387496948242,5.763692378997803,12.412851333618164
19,dashboard/data\gtzan\genres_original\blues\blues.00019.wav,"{'A major': 12.5, 'A minor': 9.43, 'C# minor': 8.01}",A major,dashboard/data\gtzan\images\blues.00019.jpg,blues,"[{'score': 0.9886471629142761, 'label': 'blues'}, {'score': 0.0033634183928370476, 'label': 'country'}, {'score': 0.0025535542517900467, 'label': 'jazz'}]",123.05,If I Had Possession Over Judgement Day,Robert Johnson,-11.4083805,-147.76329040527344,-302.3907775878906,-516.6510009765625,2.6925013065338135,7.1367950439453125,12.438141822814941
20,dashboard/data\gtzan\genres_original\blues\blues.00020.wav,"{'E major': 9.12, 'E minor': 8.83, 'B major': 7.81}",E major,dashboard/data\gtzan\images\blues.00020.jpg,blues,"[{'score': 0.9891932606697083, 'label': 'blues'}, {'score': 0.0034056659787893295, 'label': 'reggae'}, {'score': 0.002718348056077957, 'label': 'country'}]",136.0,Preachin' Blues (Up Jumped the Devil),Robert Johnson,-14.636325,21.44972038269043,368.1239013671875,-543.0477905273438,2.1440908908843994,6.672269344329834,12.868243217468262
21,dashboard/data\gtzan\genres_original\blues\blues.00021.wav,"{'F# major': 11.16, 'F# minor': 10.06, 'B major': 8.31}",F# major,dashboard/data\gtzan\images\blues.00021.jpg,blues,"[{'score': 0.9877404570579529, 'label': 'blues'}, {'score': 0.004081299062818289, 'label': 'country'}, {'score': 0.003321666270494461, 'label': 'reggae'}]",99.38,When You Got a Good Friend,Robert Johnson,-11.542149,411.8789367675781,84.03001403808594,249.30361938476562,3.456611394882202,5.8139519691467285,12.525973320007324
22,dashboard/data\gtzan\genres_original\blues\blues.00022.wav,"{'F# major': 11.59, 'F# minor': 7.99, 'C# major': 7.76}",F# major,dashboard/data\gtzan\images\blues.00022.jpg,blues,"[{'score': 0.9870026111602783, 'label': 'blues'}, {'score': 0.003915891516953707, 'label': 'reggae'}, {'score': 0.003226526314392686, 'label': 'jazz'}]",95.7,Ramblin' On My Mind,Robert Johnson,-12.672468,-603.7666015625,57.68669509887695,-142.53419494628906,3.8483667373657227,6.449277400970459,12.675107955932617
23,dashboard/data\gtzan\genres_original\blues\blues.00026.wav,"{'B minor': 10.91, 'B major': 10.03, 'G# minor': 6.13}",B minor,dashboard/data\gtzan\images\blues.00026.jpg,blues,"[{'score': 0.9847517609596252, 'label': 'blues'}, {'score': 0.007808302063494921, 'label': 'country'}, {'score': 0.002527182921767235, 'label': 'reggae'}]",83.35,Me and the Devil Blues,Robert Johnson,-20.06357,-69.93441009521484,-600.6912231445312,-144.3822021484375,2.925023078918457,5.428782939910889,12.15709114074707
24,dashboard/data\gtzan\genres_original\blues\blues.00023.wav,"{'A minor': 10.87, 'A major': 9.93, 'F major': 6.59}",A minor,dashboard/data\gtzan\images\blues.00023.jpg,blues,"[{'score': 0.985883891582489, 'label': 'blues'}, {'score': 0.004997259471565485, 'label': 'jazz'}, {'score': 0.0035298969596624374, 'label': 'country'}]",184.57,Stones In My Passway,Robert Johnson,-10.752791,-470.26275634765625,309.59906005859375,169.2630157470703,2.600532293319702,7.806495666503906,12.721070289611816
25,dashboard/data\gtzan\genres_original\blues\blues.00025.wav,"{'B minor': 8.54, 'A# major': 8.23, 'A# minor': 7.52}",B minor,dashboard/data\gtzan\images\blues.00025.jpg,blues,"[{'score': 0.9861895442008972, 'label': 'blues'}, {'score': 0.006244758144021034, 'label': 'reggae'}, {'score': 0.0025083974469453096, 'label': 'jazz'}]",92.29,Milkcow's Calf Blues,Robert Johnson,-14.871802,-40.607845306396484,339.01776123046875,-169.9361572265625,4.498589038848877,6.425658702850342,11.748441696166992
26,dashboard/data\gtzan\genres_original\blues\blues.00029.wav,"{'D minor': 11.83, 'D major': 10.42, 'G minor': 7.61}",D minor,dashboard/data\gtzan\images\blues.00029.jpg,blues,"[{'score': 0.9880979657173157, 'label': 'blues'}, {'score': 0.004142226651310921, 'label': 'country'}, {'score': 0.0021274907048791647, 'label': 'reggae'}]",129.2,House Carpenter,Kelly Joe Phelps,-10.891893,-80.50667572021484,172.7394256591797,155.61868286132812,2.5742011070251465,6.7483015060424805,11.549028396606445
27,dashboard/data\gtzan\genres_original\blues\blues.00024.wav,"{'A# minor': 9.65, 'A# major': 8.82, 'B minor': 8.24}",A# minor,dashboard/data\gtzan\images\blues.00024.jpg,blues,"[{'score': 0.9882446527481079, 'label': 'blues'}, {'score': 0.004009461961686611, 'label': 'country'}, {'score': 0.0020556095987558365, 'label': 'jazz'}]",103.36,Traveling Riverside Blues,Robert Johnson,-12.392972,-316.72314453125,3.1844570636749268,-445.2676696777344,2.2518434524536133,7.310259819030762,11.88111400604248
28,dashboard/data\gtzan\genres_original\blues\blues.00033.wav,"{'F major': 12.03, 'F minor': 9.35, 'A# minor': 7.12}",F major,dashboard/data\gtzan\images\blues.00033.jpg,blues,"[{'score': 0.9881057739257812, 'label': 'blues'}, {'score': 0.003694269573315978, 'label': 'reggae'}, {'score': 0.00263867131434381, 'label': 'country'}]",152.0,Wandering Away,Kelly Joe Phelps,-7.092414,-405.335205078125,-56.644805908203125,177.33465576171875,3.433802843093872,6.903576850891113,11.33609390258789
29,dashboard/data\gtzan\genres_original\blues\blues.00028.wav,"{'A# major': 9.41, 'A# minor': 9.28, 'F major': 7.54}",A# major,dashboard/data\gtzan\images\blues.00028.jpg,blues,"[{'score': 0.9854291081428528, 'label': 'blues'}, {'score': 0.007409051991999149, 'label': 'country'}, {'score': 0.0015402872813865542, 'label': 'reggae'}]",103.36,Traveling Riverside Blues,Robert Johnson,-13.430902,-33.983856201171875,-285.50909423828125,538.8458862304688,2.084895372390747,6.468408584594727,11.96861743927002
30,dashboard/data\gtzan\genres_original\blues\blues.00034.wav,"{'D minor': 12.72, 'D major': 10.93, 'A major': 7.36}",D minor,dashboard/data\gtzan\images\blues.00034.jpg,blues,"[{'score': 0.9864882826805115, 'label': 'blues'}, {'score': 0.003919356502592564, 'label': 'jazz'}, {'score': 0.00331442104652524, 'label': 'reggae'}]",184.57,Dock Boggs Country Blues,Kelly Joe Phelps,-7.94456,-288.73114013671875,126.05293273925781,-109.36922454833984,4.109862327575684,6.9487175941467285,12.0962495803833
31,dashboard/data\gtzan\genres_original\blues\blues.00027.wav,"{'B minor': 11.16, 'B major': 10.96, 'E major': 8.45}",B minor,dashboard/data\gtzan\images\blues.00027.jpg,blues,"[{'score': 0.9862760305404663, 'label': 'blues'}, {'score': 0.0047415075823664665, 'label': 'jazz'}, {'score': 0.0035780486650764942, 'label': 'country'}]",92.29,Hellhound On My Trail,Robert Johnson,-10.347356,568.7203979492188,-21.561086654663086,-256.137939453125,2.9012155532836914,7.582830905914307,12.75280475616455
32,dashboard/data\gtzan\genres_original\blues\blues.00031.wav,"{'D major': 11.74, 'D minor': 8.34, 'G minor': 7.6}",D major,dashboard/data\gtzan\images\blues.00031.jpg,blues,"[{'score': 0.988640546798706, 'label': 'blues'}, {'score': 0.0028489590622484684, 'label': 'country'}, {'score': 0.0023651744704693556, 'label': 'jazz'}]",152.0,Hobo's Son,Kelly Joe Phelps,-8.251105,302.36279296875,150.70657348632812,-419.1164245605469,2.7503256797790527,7.536062240600586,11.839339256286621
33,dashboard/data\gtzan\genres_original\blues\blues.00035.wav,"{'F# major': 7.43, 'G# minor': 7.3, 'B major': 6.97}",F# major,dashboard/data\gtzan\images\blues.00035.jpg,blues,"[{'score': 0.9871411323547363, 'label': 'blues'}, {'score': 0.0044233608059585094, 'label': 'reggae'}, {'score': 0.0032725054770708084, 'label': 'country'}]",129.2,Capman Bootman,Kelly Joe Phelps,-6.0146713,-2.9593825340270996,21.642343521118164,-256.1167907714844,3.9813077449798584,5.603461265563965,11.998186111450195
34,dashboard/data\gtzan\genres_original\blues\blues.00030.wav,"{'F minor': 10.85, 'F major': 9.82, 'C major': 6.7}",F minor,dashboard/data\gtzan\images\blues.00030.jpg,blues,"[{'score': 0.9873055219650269, 'label': 'blues'}, {'score': 0.004235076252371073, 'label': 'reggae'}, {'score': 0.002770269988104701, 'label': 'country'}]",152.0,River Rat Jimmy,Kelly Joe Phelps,-7.039839,362.2203063964844,-385.8833312988281,-198.65176391601562,4.075995922088623,5.894893646240234,11.128782272338867
35,dashboard/data\gtzan\genres_original\blues\blues.00032.wav,"{'C major': 8.43, 'C minor': 7.78, 'G minor': 7.53}",C major,dashboard/data\gtzan\images\blues.00032.jpg,blues,"[{'score': 0.9864922165870667, 'label': 'blues'}, {'score': 0.0046645584516227245, 'label': 'country'}, {'score': 0.003845029044896364, 'label': 'reggae'}]",143.55,Katy,Kelly Joe Phelps,-11.936957,-97.31382751464844,-161.51873779296875,31.061458587646484,3.273134231567383,5.354494571685791,11.576786994934082
36,dashboard/data\gtzan\genres_original\blues\blues.00036.wav,"{'F major': 11.12, 'F minor': 9.05, 'A# major': 7.87}",F major,dashboard/data\gtzan\images\blues.00036.jpg,blues,"[{'score': 0.9869242906570435, 'label': 'blues'}, {'score': 0.005247621797025204, 'label': 'country'}, {'score': 0.0016047894023358822, 'label': 'reggae'}]",152.0,Train Carried My Girl from Town,Kelly Joe Phelps,-7.480165,323.7222900390625,-234.5796661376953,471.91864013671875,2.6415963172912598,7.138218402862549,11.449070930480957
37,dashboard/data\gtzan\genres_original\blues\blues.00037.wav,"{'F minor': 15.2, 'F major': 10.75, 'C major': 8.71}",F minor,dashboard/data\gtzan\images\blues.00037.jpg,blues,"[{'score': 0.9839563965797424, 'label': 'blues'}, {'score': 0.005854407325387001, 'label': 'jazz'}, {'score': 0.0041238125413656235, 'label': 'reggae'}]",123.05,Piece By Piece,Kelly Joe Phelps,-12.663845,-419.6603088378906,367.5830078125,-300.62078857421875,4.102539539337158,6.784453392028809,12.447609901428223
38,dashboard/data\gtzan\genres_original\blues\blues.00038.wav,"{'D# minor': 9.41, 'D# major': 8.95, 'G# minor': 6.38}",D# minor,dashboard/data\gtzan\images\blues.00038.jpg,blues,"[{'score': 0.9832590818405151, 'label': 'blues'}, {'score': 0.005965616088360548, 'label': 'country'}, {'score': 0.00427143694832921, 'label': 'reggae'}]",86.13,Many a Time,Kelly Joe Phelps,-7.7964687,597.3938598632812,351.5148010253906,36.275794982910156,3.3927199840545654,5.253584861755371,11.18990421295166
39,dashboard/data\gtzan\genres_original\blues\blues.00039.wav,"{'F major': 11.71, 'F minor': 8.41, 'A# minor': 7.49}",F major,dashboard/data\gtzan\images\blues.00039.jpg,blues,"[{'score': 0.9809424877166748, 'label': 'blues'}, {'score': 0.010159010998904705, 'label': 'country'}, {'score': 0.001989547163248062, 'label': 'reggae'}]",117.45,Goodnight Irene,Kelly Joe Phelps,-14.369146,193.0393524169922,393.7138366699219,300.9919738769531,2.5304505825042725,5.820878505706787,11.469008445739746
