id,keys,key,filepath,album_cover_path,genre,tempo,title,artist,loudness,x_umap,y_umap,z_umap,x_tsne,y_tsne,z_tsne
14,"{'B minor': 17.59, 'B major': 12.07, 'F# major': 8.3}",B minor,data/gtzan/genres/blues/blues.00014.wav,data/gtzan/images/blues/blues.00014_cover.jpg,blues,151.99908088235293,Come On In My Kitchen,Robert Johnson,-61.62,5.0863137,5.582419,4.8489017,2.927643,20.592985,33.796093
15,"{'B major': 12.43, 'B minor': 11.38, 'E major': 7.84}",B major,data/gtzan/genres/blues/blues.00015.wav,data/gtzan/images/blues/blues.00015_cover.jpg,blues,99.38401442307692,Walkin' Blues,Robert Johnson,-56.35,6.7539716,6.2048335,6.2343507,-36.39332,15.672729,-1.0155343
16,"{'A major': 11.22, 'A minor': 8.73, 'E major': 8.05}",A major,data/gtzan/genres/blues/blues.00016.wav,data/gtzan/images/blues/blues.00016_cover.jpg,blues,198.76802884615384,Last Fair Deal Gone Down,Robert Johnson,-53.38,5.9186473,5.517816,3.8816717,16.215761,21.084866,13.221256
17,"{'A minor': 11.01, 'A major': 10.09, 'F# minor': 9.15}",A minor,data/gtzan/genres/blues/blues.00017.wav,data/gtzan/images/blues/blues.00017_cover.jpg,blues,172.265625,32-20 Blues,Robert Johnson,-54.69,6.7095532,5.6106653,6.399467,-30.061739,-5.344237,-10.258324
18,"{'F# minor': 8.92, 'B major': 8.75, 'F# major': 8.4}",F# minor,data/gtzan/genres/blues/blues.00018.wav,data/gtzan/images/blues/blues.00018_cover.jpg,blues,83.35433467741936,Kindhearted Woman Blues,Robert Johnson,-57.62,6.8878098,6.2585416,4.712501,-16.145626,-22.469034,-19.713123
19,"{'A major': 12.5, 'A minor': 9.43, 'C# minor': 8.01}",A major,data/gtzan/genres/blues/blues.00019.wav,data/gtzan/images/blues/blues.00019_cover.jpg,blues,123.046875,If I Had Possession Over Judgement Day,Robert Johnson,-53.81,6.3391943,6.9213967,6.1165295,30.20498,7.51954,-38.165283
20,"{'E major': 9.12, 'E minor': 8.83, 'B major': 7.81}",E major,data/gtzan/genres/blues/blues.00020.wav,data/gtzan/images/blues/blues.00020_cover.jpg,blues,135.99917763157896,Preaching Blues,Robert Johnson,-51.97,5.864695,4.793229,5.6121926,-46.658115,-7.5921555,19.630255
21,"{'F# major': 11.16, 'F# minor': 10.06, 'B major': 8.31}",F# major,data/gtzan/genres/blues/blues.00021.wav,data/gtzan/images/blues/blues.00021_cover.jpg,blues,99.38401442307692,When You Got a Good Friend,Robert Johnson,-54.9,7.243622,6.4369473,4.706173,-4.0372787,-9.708051,53.45447
22,"{'F# major': 11.59, 'F# minor': 7.99, 'C# major': 7.76}",F# major,data/gtzan/genres/blues/blues.00022.wav,data/gtzan/images/blues/blues.00022_cover.jpg,blues,95.703125,Rambling on My Mind,Robert Johnson,-55.28,5.1021104,6.144873,5.6772037,8.190787,-27.06189,30.743008
23,"{'A minor': 10.87, 'A major': 9.93, 'F major': 6.59}",A minor,data/gtzan/genres/blues/blues.00023.wav,data/gtzan/images/blues/blues.00023_cover.jpg,blues,184.5703125,Stones In My Passway,Robert Johnson,-52.35,5.9183884,6.1002245,4.9253125,10.109419,6.648472,-32.91713
24,"{'A# minor': 9.65, 'A# major': 8.82, 'B minor': 8.24}",A# minor,data/gtzan/genres/blues/blues.00024.wav,data/gtzan/images/blues/blues.00024_cover.jpg,blues,103.359375,Traveling Riverside Blues,Robert Johnson,-56.31,6.0673466,5.9494085,5.4437184,29.866665,-2.584686,-32.35719
25,"{'B minor': 8.54, 'A# major': 8.23, 'A# minor': 7.52}",B minor,data/gtzan/genres/blues/blues.00025.wav,data/gtzan/images/blues/blues.00025_cover.jpg,blues,92.28515625,Milkcow's Calf Blues,Robert Johnson,-58.24,7.336241,5.8804774,4.0073285,15.524237,27.509737,1.8346279
26,"{'B minor': 10.91, 'B major': 10.03, 'G# minor': 6.13}",B minor,data/gtzan/genres/blues/blues.00026.wav,data/gtzan/images/blues/blues.00026_cover.jpg,blues,83.35433467741936,Me and the Devil Blues,Robert Johnson,-63.64,6.1200004,6.026214,4.2538195,21.77294,24.136513,-23.412481
27,"{'B minor': 11.16, 'B major': 10.96, 'E major': 8.45}",B minor,data/gtzan/genres/blues/blues.00027.wav,data/gtzan/images/blues/blues.00027_cover.jpg,blues,92.28515625,Hell Hound On My Trail,Robert Johnson,-51.91,7.0486045,4.2266726,5.2817144,-40.542274,-8.692307,46.63343
28,"{'A# major': 9.41, 'A# minor': 9.28, 'F major': 7.54}",A# major,data/gtzan/genres/blues/blues.00028.wav,data/gtzan/images/blues/blues.00028_cover.jpg,blues,103.359375,Traveling Riverside Blues,Robert Johnson,-55.23,6.2537193,6.05874,5.0425954,28.11647,-3.678664,-28.12827
29,"{'D minor': 11.83, 'D major': 10.42, 'G minor': 7.61}",D minor,data/gtzan/genres/blues/blues.00029.wav,data/gtzan/images/blues/blues.00029_cover.jpg,blues,129.19921875,House Carpenter,Kelly Joe Phelps,-54.49,7.5065446,6.8769083,5.48115,6.498443,-33.11614,-38.216415
30,"{'F minor': 10.85, 'F major': 9.82, 'C major': 6.7}",F minor,data/gtzan/genres/blues/blues.00030.wav,data/gtzan/images/blues/blues.00030_cover.jpg,blues,151.99908088235293,River Rat Jimmy,Kelly Joe Phelps,-52.9,6.0294805,6.96284,5.564928,17.275436,9.592144,-3.5006964
31,"{'D major': 11.74, 'D minor': 8.34, 'G minor': 7.6}",D major,data/gtzan/genres/blues/blues.00031.wav,data/gtzan/images/blues/blues.00031_cover.jpg,blues,151.99908088235293,Hobo's Son,Kelly Joe Phelps,-53.22,5.265051,5.5069327,5.96517,28.993845,10.15307,34.731163
32,"{'C major': 8.43, 'C minor': 7.78, 'G minor': 7.53}",C major,data/gtzan/genres/blues/blues.00032.wav,data/gtzan/images/blues/blues.00032_cover.jpg,blues,143.5546875,Katy,Kelly Joe Phelps,-57.84,6.0990405,5.491341,6.657949,-41.298874,28.589338,-3.9000442
33,"{'F major': 12.03, 'F minor': 9.35, 'A# minor': 7.12}",F major,data/gtzan/genres/blues/blues.00033.wav,data/gtzan/images/blues/blues.00033_cover.jpg,blues,151.99908088235293,Wandering Away,Kelly Joe Phelps,-54.07,7.377701,6.232613,5.7681155,-44.386112,-7.471657,-2.2380195
34,"{'D minor': 12.72, 'D major': 10.93, 'A major': 7.36}",D minor,data/gtzan/genres/blues/blues.00034.wav,data/gtzan/images/blues/blues.00034_cover.jpg,blues,184.5703125,Dock Boggs Country Blues,Kelly Joe Phelps,-51.9,6.1548476,4.945239,5.2972603,-12.7713995,12.900845,-0.44420943
35,"{'F# major': 7.43, 'G# minor': 7.3, 'B major': 6.97}",F# major,data/gtzan/genres/blues/blues.00035.wav,data/gtzan/images/blues/blues.00035_cover.jpg,blues,129.19921875,Capman Bootman,Kelly Joe Phelps,-49.33,7.290393,5.245157,4.427484,-23.309633,1.8643229,-25.625263
36,"{'F major': 11.12, 'F minor': 9.05, 'A# major': 7.87}",F major,data/gtzan/genres/blues/blues.00036.wav,data/gtzan/images/blues/blues.00036_cover.jpg,blues,151.99908088235293,Train Carried My Girl from Town,Kelly Joe Phelps,-52.78,7.148553,6.0454826,6.643669,-11.466127,16.10435,58.460045
37,"{'F minor': 15.2, 'F major': 10.75, 'C major': 8.71}",F minor,data/gtzan/genres/blues/blues.00037.wav,data/gtzan/images/blues/blues.00037_cover.jpg,blues,123.046875,Piece by Piece,Kelly Joe Phelps,-60.51,6.8828,4.182541,5.6478796,-50.42816,-10.332207,7.956665
38,"{'D# minor': 9.41, 'D# major': 8.95, 'G# minor': 6.38}",D# minor,data/gtzan/genres/blues/blues.00038.wav,data/gtzan/images/blues/blues.00038_cover.jpg,blues,86.1328125,Many a Time,Kelly Joe Phelps,-50.88,6.4872694,5.122257,3.9985857,1.4432523,-14.012668,4.3288965
39,"{'F major': 11.71, 'F minor': 8.41, 'A# minor': 7.49}",F major,data/gtzan/genres/blues/blues.00039.wav,data/gtzan/images/blues/blues.00039_cover.jpg,blues,117.45383522727272,Goodnight Irene,Kelly Joe Phelps,-61.59,6.827637,6.835807,6.246448,-21.750532,10.805314,-1.2480816
40,"{'G# major': 11.45, 'G# minor': 9.01, 'C# major': 8.1}",G# major,data/gtzan/genres/blues/blues.00040.wav,data/gtzan/images/blues/blues.00040_cover.jpg,blues,172.265625,Love Struck Baby,Stevie Ray Vaughan & Double Trouble,-37.84,5.268,5.544131,4.248738,-12.889518,53.239994,11.05598
41,"{'D# major': 12.0, 'D# minor': 7.99, 'G# minor': 7.27}",D# major,data/gtzan/genres/blues/blues.00041.wav,data/gtzan/images/blues/blues.00041_cover.jpg,blues,129.19921875,Pride and Joy,Stevie Ray Vaughan & Double Trouble,-38.38,8.04741,5.083699,6.296637,-1.1734725,-40.169067,12.684646
42,"{'B major': 11.01, 'F# major': 10.04, 'B minor': 7.95}",B major,data/gtzan/genres/blues/blues.00042.wav,data/gtzan/images/blues/blues.00042_cover.jpg,blues,89.10290948275862,Texas Flood,Stevie Ray Vaughan & Double Trouble,-43.51,7.6994753,5.838078,6.172015,-5.9499726,-35.080505,5.2286673
43,"{'B major': 10.79, 'E minor': 9.88, 'E major': 7.61}",B major,data/gtzan/genres/blues/blues.00043.wav,data/gtzan/images/blues/blues.00043_cover.jpg,blues,129.19921875,Tell Me,Stevie Ray Vaughan & Double Trouble,-38.34,6.807792,7.2799597,4.7786813,12.72127,36.44027,-2.4004407
44,"{'D# major': 11.71, 'D# minor': 8.65, 'G# major': 7.64}",D# major,data/gtzan/genres/blues/blues.00044.wav,data/gtzan/images/blues/blues.00044_cover.jpg,blues,135.99917763157896,Testify,Stevie Ray Vaughan & Double Trouble,-38.98,6.268702,5.138901,4.000091,-11.091853,28.048067,-9.879852
45,"{'D# major': 8.41, 'A# minor': 7.54, 'D# minor': 7.37}",D# major,data/gtzan/genres/blues/blues.00045.wav,data/gtzan/images/blues/blues.00045_cover.jpg,blues,129.19921875,Rude Mood,Stevie Ray Vaughan & Double Trouble,-45.19,4.9887156,5.125328,5.120795,3.2250593,-1.6889699,33.171
46,"{'D# major': 11.19, 'G# minor': 9.25, 'G# major': 8.38}",D# major,data/gtzan/genres/blues/blues.00046.wav,data/gtzan/images/blues/blues.00046_cover.jpg,blues,123.046875,Mary Had A Little Lamb,Stevie Ray Vaughan and Double Trouble,-45.47,7.681864,6.6280026,5.657681,-10.10868,-27.169706,10.497573
47,"{'C# minor': 10.39, 'C# major': 9.02, 'F# minor': 7.81}",C# minor,data/gtzan/genres/blues/blues.00047.wav,data/gtzan/images/blues/blues.00047_cover.jpg,blues,151.99908088235293,Dirty Pool,Stevie Ray Vaughan and Double Trouble,-43.97,7.521643,5.55671,5.7101173,-4.7937207,-29.532093,-39.29507
48,"{'D# major': 10.24, 'D# minor': 8.62, 'G# major': 6.82}",D# major,data/gtzan/genres/blues/blues.00048.wav,data/gtzan/images/blues/blues.00048_cover.jpg,blues,123.046875,I'm Cryin',Stevie Ray Vaughan & Double Trouble,-38.01,8.044853,4.8566403,5.0675325,-16.802885,-49.251987,20.443436
49,"{'A# minor': 9.15, 'D# minor': 8.44, 'D# major': 7.67}",A# minor,data/gtzan/genres/blues/blues.00049.wav,data/gtzan/images/blues/blues.00049_cover.jpg,blues,123.046875,Lenny,Stevie Ray Vaughan and Double Trouble,-50.07,5.2796693,6.045022,4.699216,43.255722,39.111805,0.89367485
50,"{'B major': 11.14, 'E minor': 8.75, 'E major': 8.65}",B major,data/gtzan/genres/blues/blues.00050.wav,data/gtzan/images/blues/blues.00050_cover.jpg,blues,135.99917763157896,What's Wrong,Magic Slim & The Teardrops,-39.69,8.136206,5.964701,4.929997,-7.281174,-19.833466,-51.30098
51,"{'E major': 12.66, 'E minor': 10.2, 'G# minor': 6.55}",E major,data/gtzan/genres/blues/blues.00051.wav,data/gtzan/images/blues/blues.00051_cover.jpg,blues,99.38401442307692,Snakebite,Magic Slim & The Teardrops,-35.78,6.8415747,5.938214,6.8468738,21.99007,-10.869306,10.6690855
52,"{'G major': 10.23, 'C major': 9.03, 'G minor': 8.11}",G major,data/gtzan/genres/blues/blues.00052.wav,data/gtzan/images/blues/blues.00052_cover.jpg,blues,151.99908088235293,Just Before You Go,Magic Slim & The Teardrops,-52.87,5.7516875,4.970542,6.791516,-40.271763,-16.964323,28.341862
53,"{'G# major': 11.2, 'G# minor': 9.47, 'C# minor': 8.3}",G# major,data/gtzan/genres/blues/blues.00053.wav,data/gtzan/images/blues/blues.00053_cover.jpg,blues,103.359375,Key To Your Door,Magic Slim & The Teardrops,-38.67,6.652024,4.462334,6.0559106,2.293502,11.501271,-18.602192
54,"{'A major': 11.06, 'D major': 8.25, 'D minor': 7.63}",A major,data/gtzan/genres/blues/blues.00054.wav,data/gtzan/images/blues/blues.00054_cover.jpg,blues,89.10290948275862,Shake It,Magic Slim & The Teardrops,-37.33,7.2666903,6.554244,6.5317516,13.94619,20.646967,-55.01777
55,"{'G major': 11.63, 'G minor': 10.5, 'C major': 9.01}",G major,data/gtzan/genres/blues/blues.00055.wav,data/gtzan/images/blues/blues.00055_cover.jpg,blues,135.99917763157896,I Ain't Looking For No Love,Magic Slim & The Teardrops,-40.93,5.9955235,4.9101925,4.376374,23.73546,5.692028,14.763863
56,"{'E minor': 12.06, 'E major': 9.53, 'A minor': 8.8}",E minor,data/gtzan/genres/blues/blues.00056.wav,data/gtzan/images/blues/blues.00056_cover.jpg,blues,161.4990234375,Country Boy,Magic Slim & The Teardrops,-46.97,6.5080214,4.690271,4.231582,-25.998173,-5.8934827,-18.394348
57,"{'B major': 11.53, 'E minor': 9.38, 'E major': 8.22}",B major,data/gtzan/genres/blues/blues.00057.wav,data/gtzan/images/blues/blues.00057_cover.jpg,blues,92.28515625,Lump On Your Stump,Magic Slim & The Teardrops,-41.12,6.3237834,7.205068,6.0798135,-11.917482,15.053826,-35.939423
58,"{'C# minor': 8.78, 'C# major': 8.33, 'G# major': 8.3}",C# minor,data/gtzan/genres/blues/blues.00058.wav,data/gtzan/images/blues/blues.00058_cover.jpg,blues,107.666015625,Lonesome Trouble,Magic Slim & The Teardrops,-41.43,8.11192,5.003399,4.834073,-43.861572,-10.2393265,-35.16929
59,"{'G major': 10.28, 'G minor': 7.47, 'C major': 7.37}",G major,data/gtzan/genres/blues/blues.00059.wav,data/gtzan/images/blues/blues.00059_cover.jpg,blues,107.666015625,The Man You Need,Magic Slim & The Teardrops,-42.21,5.3485513,5.081708,4.4814477,-8.221907,35.810093,-6.4821362
60,"{'A major': 11.22, 'A minor': 9.13, 'D major': 7.34}",A major,data/gtzan/genres/blues/blues.00060.wav,data/gtzan/images/blues/blues.00060_cover.jpg,blues,151.99908088235293,Mind Your Own Business,Magic Slim & The Teardrops,-37.3,5.4319553,6.2854643,5.636741,-19.13049,21.297277,-1.4172187
61,"{'D# major': 8.68, 'A# major': 7.2, 'G# major': 7.15}",D# major,data/gtzan/genres/blues/blues.00061.wav,data/gtzan/images/blues/blues.00061_cover.jpg,blues,129.19921875,Boppin' The Rock,Clifton Chenier,-34.89,5.0349455,4.781871,5.5533943,-6.0928535,-58.336594,16.402035
62,"{'F minor': 10.54, 'F major': 7.35, 'C# major': 6.96}",F minor,data/gtzan/genres/blues/blues.00062.wav,data/gtzan/images/blues/blues.00062_cover.jpg,blues,112.34714673913044,The Things I Did For You,Clifton Chenier,-40.28,6.8890266,6.8866696,5.7880626,-23.281668,25.955303,4.1195107
63,"{'C minor': 9.43, 'F major': 9.33, 'F minor': 7.88}",C minor,data/gtzan/genres/blues/blues.00063.wav,data/gtzan/images/blues/blues.00063_cover.jpg,blues,92.28515625,Yesterday,Clifton Chenier,-39.07,5.7831526,5.0708537,5.605537,-5.674994,19.256811,-6.1749015
64,"{'F major': 9.22, 'F minor': 8.83, 'C major': 8.1}",F major,data/gtzan/genres/blues/blues.00064.wav,data/gtzan/images/blues/blues.00064_cover.jpg,blues,78.30255681818181,Squeeze Box Boogie,Clifton Chenier,-33.5,7.797696,5.7189713,6.5399795,-14.893315,-25.188267,1.8835555
65,"{'C major': 10.6, 'C minor': 10.48, 'G major': 6.55}",C major,data/gtzan/genres/blues/blues.00065.wav,data/gtzan/images/blues/blues.00065_cover.jpg,blues,107.666015625,I'm On My Way (Part 1),Clifton Chenier,-35.29,6.4007883,6.193318,5.9030137,-13.661676,5.0486197,8.83001
66,"{'B minor': 9.72, 'G major': 9.67, 'D major': 9.15}",B minor,data/gtzan/genres/blues/blues.00066.wav,data/gtzan/images/blues/blues.00066_cover.jpg,blues,161.4990234375,Ay-Te Te Fee,Clifton Chenier,-38.21,8.103697,6.3063035,5.4333286,-25.014685,3.3878522,-15.500447
67,"{'G major': 10.86, 'G minor': 8.43, 'C minor': 8.34}",G major,data/gtzan/genres/blues/blues.00067.wav,data/gtzan/images/blues/blues.00067_cover.jpg,blues,161.4990234375,All Night Long,Clifton Chenier,-36.45,7.958109,6.2913013,5.2533,-20.990747,4.867606,-11.69782
68,"{'F major': 10.2, 'F minor': 8.14, 'A# minor': 7.27}",F major,data/gtzan/genres/blues/blues.00068.wav,data/gtzan/images/blues/blues.00068_cover.jpg,blues,161.4990234375,Opelousas Hop,Clifton Chenier,-37.41,6.921871,4.217223,5.5552554,18.015528,-32.080673,32.29682
69,"{'G minor': 8.37, 'G major': 7.98, 'C major': 7.11}",G minor,data/gtzan/genres/blues/blues.00069.wav,data/gtzan/images/blues/blues.00069_cover.jpg,blues,78.30255681818181,I'm On My Way (Part 2),Clifton Chenier,-38.02,5.55147,4.621873,5.944524,-3.2823498,56.482433,-9.527652
70,"{'F# major': 12.97, 'A# minor': 8.82, 'B minor': 7.99}",F# major,data/gtzan/genres/blues/blues.00070.wav,data/gtzan/images/blues/blues.00070_cover.jpg,blues,143.5546875,Think It Over,Clifton Chenier,-39.64,7.2119904,4.31218,5.164905,-26.498823,-9.286339,10.628407
71,"{'F major': 10.03, 'F minor': 9.57, 'C major': 8.0}",F major,data/gtzan/genres/blues/blues.00071.wav,data/gtzan/images/blues/blues.00071_cover.jpg,blues,73.828125,Zodico Stomp,Clifton Chenier,-33.93,6.0479136,4.417972,5.9449167,-3.143988,27.72527,-20.42252
72,"{'G major': 11.97, 'E minor': 8.99, 'G minor': 7.53}",G major,data/gtzan/genres/blues/blues.00072.wav,data/gtzan/images/blues/blues.00072_cover.jpg,blues,103.359375,The Cats Dreamin',Clifton Chenier,-35.95,6.1779985,4.9138646,4.5504003,-29.174143,10.039376,-26.44451
73,"{'D# major': 9.71, 'G# major': 6.7, 'D# minor': 6.46}",D# major,data/gtzan/genres/blues/blues.00073.wav,data/gtzan/images/blues/blues.00073_cover.jpg,blues,99.38401442307692,I Bought A Raccoon,Buckwheat Zydeco,-38.85,5.4796805,5.5680385,5.552126,7.4844522,32.997112,51.50507
74,"{'D# major': 9.48, 'D# minor': 7.52, 'A# major': 6.96}",D# major,data/gtzan/genres/blues/blues.00074.wav,data/gtzan/images/blues/blues.00074_cover.jpg,blues,112.34714673913044,"Bim Bam, Thank You Mam",Buckwheat Zydeco,-42.19,5.083766,4.200748,5.4101686,18.845121,48.271366,-25.525991
75,"{'C major': 10.82, 'F major': 10.21, 'F minor': 9.01}",C major,data/gtzan/genres/blues/blues.00075.wav,data/gtzan/images/blues/blues.00075_cover.jpg,blues,117.45383522727272,Ya Ya,Buckwheat Zydeco,-40.38,5.456415,6.3948393,4.5652895,-9.964834,20.300194,-27.380644
76,"{'A# major': 11.2, 'D# minor': 9.37, 'D# major': 8.5}",A# major,data/gtzan/genres/blues/blues.00076.wav,data/gtzan/images/blues/blues.00076_cover.jpg,blues,117.45383522727272,Buck's Nouvelle Jole Blon,Buckwheat Zydeco,-36.92,6.5046206,5.719781,4.259767,18.389927,-6.300668,-8.233852
77,"{'F minor': 8.94, 'F major': 8.89, 'C major': 7.68}",F minor,data/gtzan/genres/blues/blues.00077.wav,data/gtzan/images/blues/blues.00077_cover.jpg,blues,99.38401442307692,On A Night Like This,Buckwheat Zydeco,-35.42,6.809394,6.201617,3.8212855,50.623787,1.2948364,0.70373905
78,"{'D# major': 10.56, 'G# minor': 9.47, 'D# minor': 8.77}",D# major,data/gtzan/genres/blues/blues.00078.wav,data/gtzan/images/blues/blues.00078_cover.jpg,blues,123.046875,Hot Tamale Baby,Buckwheat Zydeco,-34.1,5.9463835,4.443578,5.608027,30.353455,17.153868,-23.250841
79,"{'D# minor': 11.76, 'D# major': 9.08, 'B major': 7.71}",D# minor,data/gtzan/genres/blues/blues.00079.wav,data/gtzan/images/blues/blues.00079_cover.jpg,blues,78.30255681818181,Ma Tit Fille,Buckwheat Zydeco,-33.86,6.5585485,4.897255,5.958119,-3.7733111,-42.556973,24.333078
80,"{'C minor': 9.73, 'G major': 8.85, 'C major': 8.69}",C minor,data/gtzan/genres/blues/blues.00080.wav,data/gtzan/images/blues/blues.00080_cover.jpg,blues,117.45383522727272,Hey Good Lookin',Buckwheat Zydeco,-40.21,6.149907,5.3276854,3.8347213,-6.80378,30.48694,-5.8504567
81,"{'G major': 10.73, 'B minor': 7.63, 'D major': 7.16}",G major,data/gtzan/genres/blues/blues.00081.wav,data/gtzan/images/blues/blues.00081_cover.jpg,blues,103.359375,Buck's Hot Rod,Buckwheat Zydeco,-34.64,6.907731,4.0020885,4.5537763,52.356728,-8.300381,13.124965
82,"{'A major': 9.53, 'D minor': 8.39, 'D major': 7.63}",A major,data/gtzan/genres/blues/blues.00082.wav,data/gtzan/images/blues/blues.00082_cover.jpg,blues,123.046875,Why Does Love Got To Be So Sad,Buckwheat Zydeco,-35.85,7.722064,6.648738,4.5153346,17.983133,-6.801141,46.477818
83,"{'F major': 11.06, 'A# minor': 9.36, 'A# major': 9.21}",F major,data/gtzan/genres/blues/blues.00083.wav,data/gtzan/images/blues/blues.00083_cover.jpg,blues,135.99917763157896,Drivin Old Grey,Buckwheat Zydeco,-37.45,6.363377,5.2019105,6.27659,10.860614,-1.2824672,-43.27859
84,"{'C minor': 9.54, 'D# major': 9.34, 'G minor': 8.9}",C minor,data/gtzan/genres/blues/blues.00084.wav,data/gtzan/images/blues/blues.00084_cover.jpg,blues,112.34714673913044,Zydeco Honky Tonk,Buckwheat Zydeco,-37.39,6.609209,6.174706,6.494996,-16.564682,5.7090793,-5.553945
85,"{'G major': 10.61, 'C major': 7.36, 'C minor': 7.31}",G major,data/gtzan/genres/blues/blues.00085.wav,data/gtzan/images/blues/blues.00085_cover.jpg,blues,143.5546875,Crow Jane,Hot Toddy,-50.55,5.734263,5.051693,6.770749,-40.58532,-15.973222,33.535328
86,"{'G minor': 8.68, 'G major': 7.71, 'D major': 6.76}",G minor,data/gtzan/genres/blues/blues.00086.wav,data/gtzan/images/blues/blues.00086_cover.jpg,blues,123.046875,Cross Cut Saw,Hot Toddy,-53.01,5.1530495,5.713781,4.8538136,5.968842,21.753971,27.2809
87,"{'C# major': 10.71, 'C# minor': 8.22, 'F# major': 8.18}",C# major,data/gtzan/genres/blues/blues.00087.wav,data/gtzan/images/blues/blues.00087_cover.jpg,blues,172.265625,Right From The Start,Hot Toddy,-49.12,5.2426863,5.500959,5.8615317,-30.441923,22.476698,24.315136
