id,x_tsne,y_tsne,z_tsne,genre,x_umap,y_umap,z_umap,tempo,album_cover,track_title,artist
17,46.019745,-108.61528,-18.079594,Folk,8.458641,2.8914456,5.4735904,67,,Punjabi Watery Grave,Alec K. Redfearn & the Eyesores
18,-72.5911,-75.60833,5.4508715,Pop,9.371254,3.8237169,6.155588,152,,Wire Up,Amoebic Ensemble
19,91.636536,7.6047273,-4.942188,Rock,8.7272005,3.2776916,5.1163664,82,,Amoebiasis,Amoebic Ensemble
20,-59.724583,32.626987,-96.86793,Rock,10.4013195,2.3756065,5.741649,72,,Gimme a Buck or I'll Touch You / Boilermaker,Amoebic Ensemble
21,81.91083,-16.014797,73.790375,Rock,8.531812,1.2879447,5.7557063,99,,Repetitive Motion Sickness,Amoebic Ensemble
22,-90.071785,38.58691,-64.6179,Experimental,8.7412615,1.99945,5.6445675,155,,Blackout 2,Contradiction
23,-61.128773,33.756504,-50.31595,Rock,9.698374,2.9517653,6.3420043,69,,Outside the window bees buzzed...,Andy Hayleck
24,9.407424,-118.280304,7.558374,Folk,9.128892,3.787391,5.4919753,123,,... listening to the sunshine burn the grass,Andy Hayleck
25,76.12022,5.42172,-44.853504,Folk,9.453912,3.149932,5.2817006,147,,Untitled 04,Animal Writes
26,34.13348,41.466072,-72.44951,Folk,8.764551,2.4983528,6.1713715,127,,Untitled 11,Animal Writes
27,-4.968476,101.34488,14.334438,Rock,9.773483,1.4188676,5.0284934,146,,Hundred-Year Flood,Arc and Sender
28,-9.790603,94.14832,-25.537764,Folk,9.683808,2.1867552,5.0765553,127,,Squares And Circles,Arc and Sender
29,9.265879,-44.116207,-3.0173497,Experimental,9.043229,2.564447,5.9009795,105,,Maps of the Stars Homes,Arc and Sender
30,-97.49175,-20.370722,-30.86115,Folk,9.649237,2.6720324,4.461998,93,,Track 01,Area C
31,20.918713,-61.05461,-115.10258,Folk,8.756105,1.6835063,4.9413486,100,,Track 02,Area C
32,-118.172195,5.32823,32.08607,Folk,10.612808,2.1816196,6.3064256,126,,Track 03,Area C
33,-106.12875,-24.13672,35.966187,International,9.5271225,2.136821,4.602642,121,,Track 04,Area C
34,-35.42063,-67.93957,-27.575771,International,8.087752,2.5628538,4.904191,92,,Track 05,Area C
35,-41.29785,-109.75111,-21.143723,Hip-Hop,9.568681,1.0210544,6.4487743,80,,Track 06,Area C
36,-32.343258,-95.61124,-47.9798,Rock,9.382761,2.4619586,7.3912663,159,,Track 07,Area C
37,120.59651,-8.507291,-56.709858,Hip-Hop,10.172055,2.717134,6.9063306,86,,Track 08,Area C
38,76.86223,-7.3397937,21.288704,Hip-Hop,9.486866,2.6588275,6.928779,109,,Track 09,Area C
39,48.98251,-17.187233,-77.00404,International,8.209699,3.3796437,5.388899,94,,Track 10,Area C
40,62.90546,-21.581842,-14.624788,International,9.431387,2.2050905,5.324726,95,,Track 11,Area C
41,44.10523,8.520449,82.94688,International,9.103128,3.5412316,5.7202873,94,,Track 12,Area C
42,85.00328,-96.55348,13.251687,International,9.300475,1.4943161,6.8816495,113,,Track 13,Area C
43,-18.993357,1.3504642,-26.699137,International,7.9986577,1.5847484,5.591703,108,,Boss of Goth,Argumentix
44,-120.789024,-54.15879,1.5383834,International,10.187803,1.276942,5.527007,84,,Industry Standard Massacre,Argumentix
45,-15.531578,132.80907,-56.45264,Folk,10.23524,3.3801587,5.276373,102,,Marching as Technitions,Argumentix
46,-9.29907,15.026871,-125.56092,Folk,9.339474,2.5337706,5.4725933,94,,I Can't Stand You Up-right,Argumentix
47,-49.050655,-95.36099,48.458935,Folk,10.100021,2.5075471,7.0492873,125,,Save Life's Golden Receipt In Case Refund Needed,Argumentix
48,-55.258625,-24.123707,-23.91727,Folk,8.545143,2.968637,7.1246524,139,,Senator's Stance,Argumentix
49,-86.398636,-31.001472,0.66643906,Rock,8.041935,2.3580053,5.6491814,121,,Snapped Today,Argumentix
50,117.58059,44.843052,19.00624,Folk,10.060338,2.0266898,5.9587193,106,,Step Up to Legends,Argumentix
51,99.4965,53.25746,-33.69584,Pop,9.257544,3.8175843,6.0545917,133,,Petty Hate Machine,Argumentix
52,-61.23,-28.106424,71.69223,Pop,9.039124,3.5349753,7.389896,125,,Lend Me a Blanket,Argumentix
53,-82.74474,75.47665,-12.758114,Rock,10.731255,1.7691664,6.246626,111,,Ready to Die,Argumentix
54,-10.11077,-32.935123,-46.59239,International,10.003981,1.6779622,7.129109,160,,Gopacapulco,Ariel Pink's Haunted Graffiti
55,33.774525,-1.0153339,0.04278981,Folk,8.154233,1.6584356,5.956126,146,,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti
56,-33.391983,-36.74093,16.137962,Folk,8.579849,1.3510163,6.4485207,120,,For Kate I Wait,Ariel Pink's Haunted Graffiti
57,-68.44727,-25.231161,-56.96671,Experimental,9.717303,1.0504798,5.6996503,102,,Helen,Ariel Pink's Haunted Graffiti
58,57.530514,40.637638,-15.021803,Rock,9.994701,2.4784667,4.9815917,70,,Want Me,Ariel Pink's Haunted Graffiti
59,-17.060942,-37.39826,73.99759,Experimental,9.602401,2.5603032,4.828634,83,,Piano 1,Ed Askew
60,-82.17288,-73.41777,-53.91034,Experimental,9.710556,1.5791512,7.1768904,65,,The Thought Of It,Ed Askew
61,15.037811,-57.601723,36.708473,Experimental,9.979193,1.96088,4.9958897,102,,Castle Of Stars,Ed Askew
62,27.443666,-19.354322,30.798092,Rock,8.181196,1.7796435,5.7357674,105,,Song About Michael,Ed Askew
63,-0.2084793,-94.93772,-74.34306,Rock,10.302348,3.205359,5.35758,60,,Ed Talk WNYC,Ed Askew
64,26.661568,-19.472904,103.61658,Experimental,9.923743,1.5015455,6.574513,142,,Here With You,Ed Askew
65,94.222694,-41.419262,9.735468,Experimental,8.4519005,1.639267,6.7546697,69,,All I want to Do,Ed Askew
66,79.76672,22.875515,-90.72443,Experimental,8.962429,3.2670686,7.221521,72,,I Remember You,Ed Askew
67,42.63302,82.43622,-25.32066,Experimental,8.960363,2.8861966,4.8392453,66,,Bright Mr Brother,Ed Askew
68,70.0361,-58.86875,-30.088444,International,7.850916,2.7519977,6.160803,106,,Piano 2,Ed Askew
69,88.162186,-79.494514,72.321495,Experimental,9.193382,3.4398127,6.5837417,85,,It Breaks My Heart,Ed Askew
70,15.712025,-78.926834,-27.1437,Rock,8.577616,1.6359849,6.5214796,142,,Rimbaud,Ed Askew
71,25.644249,-15.512742,-43.35238,Rock,10.490222,2.0896862,6.432523,135,,Baby Come Home,Ed Askew
72,0.93527037,-7.78271,65.67245,Folk,8.736637,2.0372386,5.2651668,152,,Big City,Ed Askew
73,-51.823757,-67.14094,-98.08097,Folk,9.407895,3.0563254,6.0344286,105,,Palomino,Ed Askew
74,-13.373636,69.74277,71.91447,Folk,9.401415,1.85413,4.4953194,135,,Song For R,Ed Askew
75,-52.58661,88.11545,-58.40219,Folk,9.534012,1.8066529,7.248195,123,,My Dream,Ed Askew
76,72.62355,77.46716,61.241535,Experimental,9.254249,2.3010268,6.5151863,78,,What Crow Saw,Ed Askew
77,23.563772,84.147,52.758377,Experimental,9.946009,1.1773833,6.5669327,160,,Bella Crane,Ed Askew
78,57.95199,-93.9584,-82.089264,Rock,9.687236,2.2494755,7.263011,77,,Piano 3,Ed Askew
79,-44.740227,72.16338,80.93668,Experimental,10.135319,1.0919974,6.036364,79,,Safe Harbor,Ed Askew
80,-20.809076,111.9549,70.243904,Experimental,9.390397,2.5387757,5.8195343,68,,Safe Harbor,Ed Askew
81,-11.060951,25.082335,97.83026,Experimental,9.062165,1.5577807,5.9540324,150,,In the French Court,Ed Askew
82,44.568497,59.622257,79.3001,Rock,9.95723,2.8854012,5.381762,106,,In America,Ed Askew
83,114.995995,-143.29523,-229.79175,Rock,10.110384,3.4862494,5.095605,82,,When I Arive,Ed Askew
84,-13.458917,-3.446427,5.431326,Experimental,7.919423,2.668399,6.1996,149,,Boute,Au
85,-19.76856,-28.003647,-79.69995,Electronic,9.338556,1.7904824,6.516863,90,,W.T.M.,Bad News Bats
86,66.04437,-46.8501,45.41792,Experimental,8.730445,2.6517186,6.5759444,151,,Don't Run With Pizzas,Bad News Bats
87,2.9338942,26.393711,8.563286,Folk,10.052335,2.2814825,6.311571,158,,"Push Am (Left, Right)",Banana Clipz
88,38.109386,-58.65887,-44.468018,Pop,8.770498,3.3355794,5.536583,107,,Garbage and (Garbage and Fire),Barnacled
89,125.71229,-29.643684,-26.394625,Pop,8.675618,2.5262392,5.291292,65,,France Attacks,Barnacled
90,70.845024,74.083855,-62.163113,Pop,9.24793,3.1015456,5.660356,111,,Referents,Bird Names
91,-76.221825,30.043447,39.022476,Pop,8.768342,1.9893528,6.8881054,64,,A New Map for Kissing,Bird Names
92,-8.988001,-82.736946,8.194088,Pop,8.303928,2.8269436,6.8582616,104,,Ghosts,Bird Names
93,17.167227,23.489523,49.424286,Pop,10.57194,1.539241,5.942573,61,,The Indefinite Time Yet to Come,Bird Names
94,-1.8100909,-79.30103,74.092926,Experimental,9.967401,2.6508474,6.01592,63,,Smoovebiz,Bird Names
95,35.521435,-93.12164,36.58193,International,9.165881,1.916173,4.7178617,137,,Nobody Loves Me,Bird Names
96,64.138626,90.94153,19.122986,International,10.4978,2.7449486,6.044941,106,,It's Becoming a Stranger,Bird Names
97,-26.267813,22.62344,56.430927,International,10.037547,1.4300162,5.9480734,90,,New Life,Bird Names
98,15.2302475,-10.203905,-106.27199,International,8.801988,1.1128174,5.9585695,160,,Masters Of Enjoyment,Bird Names
99,24.37563,22.918674,-37.57,International,8.468379,3.4582427,5.353295,79,,We Want to be Old,Bird Names
